language,cast_num,cast_0,crew_num,director,genre_0,company_0,country
en,13,Jay Baruchel,42,Chris Sanders,Fantasy,DreamWorks Animation,US
en,14,Arnold Schwarzenegger,144,Jonathan Mostow,Action,Columbia Pictures,DE
en,80,Chris Pratt,105,James Gunn,Action,Marvel Studios,GB
en,36,Matthew McConaughey,120,Christopher Nolan,Adventure,Paramount Pictures,CA
en,29,Leonardo DiCaprio,18,Christopher Nolan,Action,Legendary Pictures,GB
ja,49,Hiroki Hasegawa,27,Hideaki Anno,Action,Cine Bazar,JP
en,30,Ian McKellen,50,Peter Jackson,Adventure,WingNut Films,NZ
en,30,Paul Walker,141,Rob Cohen,Action,Universal Pictures,DE
en,37,Cate Blanchett,155,David Fincher,Fantasy,Paramount Pictures,US
en,41,James McAvoy,45,Matthew Vaughn,Action,Ingenious Film Partners,US
en,51,Jennifer Lawrence,114,Francis Lawrence,Action,Studio Babelsberg,DE
en,14,Nicolas Cage,5,Jon Turteltaub,Fantasy,Walt Disney Pictures,US
en,14,Kurt Russell,29,Wolfgang Petersen,Adventure,Virtual Studios,US
en,98,Johnny Depp,102,James Bobin,Fantasy,Walt Disney Pictures,GB
en,41,Mike Myers,15,Chris Miller,Fantasy,DreamWorks SKG,US
en,47,Paula Patton,129,Duncan Jones,Action,Universal Pictures,CA
en,32,Arnold Schwarzenegger,145,Alan Taylor,Science Fiction,Paramount Pictures,US
en,19,Skandar Keynes,31,Michael Apted,Adventure,Dune Entertainment,US
en,101,Ben Affleck,114,Michael Bay,History,Jerry Bruckheimer Films,US
en,38,Shia LaBeouf,41,Michael Bay,Adventure,Paramount Pictures,US
en,51,Colin Farrell,167,Oliver Stone,War,France 3 Cinéma,FR
en,80,Daniel Radcliffe,22,David Yates,Adventure,Warner Bros.,GB
en,65,Daniel Radcliffe,30,Mike Newell,Adventure,Patalex IV Productions Limited,GB
en,33,Will Smith,27,Peter Berg,Fantasy,Columbia Pictures,US
en,13,Will Smith,23,Francis Lawrence,Drama,Village Roadshow Pictures,US
en,32,Johnny Depp,115,Tim Burton,Adventure,Village Roadshow Pictures,AU
en,23,Patton Oswalt,56,Jan Pinkava,Animation,Walt Disney Pictures,US
en,113,Christian Bale,137,Christopher Nolan,Action,DC Comics,GB
en,42,Ben Stiller,6,Eric Darnell,Family,DreamWorks Animation,US
en,42,Ben Stiller,16,Shawn Levy,Adventure,Twentieth Century Fox Film Corporation,US
en,63,Hugh Jackman,8,Gavin Hood,Adventure,Ingenious Film Partners,US
en,22,Keanu Reeves,25,Lilly Wachowski,Adventure,Village Roadshow Pictures,US
en,56,Kristen Bell,25,Chris Buck,Animation,Walt Disney Pictures,US
en,74,Keanu Reeves,23,Lilly Wachowski,Adventure,Village Roadshow Pictures,AU
en,43,Chris Hemsworth,40,Alan Taylor,Action,Marvel Studios,US
en,60,Tom Hardy,76,George Miller,Action,Village Roadshow Pictures,AU
en,47,Tom Hanks,107,Ron Howard,Thriller,Columbia Pictures,IT
en,32,Chris Hemsworth,30,Kenneth Branagh,Adventure,Marvel Studios,US
en,16,John Travolta,156,Chris Williams,Animation,Walt Disney Animation Studios,US
en,21,Sam Rockwell,15,Hoyt Yeatman,Fantasy,Walt Disney Pictures,US
en,18,Sam Worthington,31,Jonathan Liebesman,Adventure,Legendary Pictures,ES
en,25,Johnny Depp,18,Tim Burton,Comedy,Village Roadshow Pictures,AU
en,75,Tom Cruise,112,Christopher McQuarrie,Action,Paramount Pictures,CN
en,14,Benicio del Toro,47,Joe Johnston,Drama,Universal Pictures,US
en,25,Jerry Seinfeld,21,Steve Hickner,Family,Pacific Data Images (PDI),US
en,32,Jack Black,23,Jennifer Yuh Nelson,Animation,DreamWorks Animation,US
en,21,Noah Ringer,3,M. Night Shyamalan,Action,Paramount Pictures,US
en,13,Tom Cruise,26,J.J. Abrams,Adventure,Paramount Pictures,CN
en,21,Channing Tatum,22,Roland Emmerich,Action,Columbia Pictures,US
en,12,Seth Green,7,Simon Wells,Adventure,Walt Disney Animation Studios,US
en,15,Hugh Jackman,34,David Bowers,Adventure,Aardman Animations,GB
en,19,Levi Miller,22,Joe Wright,Adventure,Warner Bros.,US
en,51,Ty Burrell,11,Rob Minkoff,Animation,Pacific Data Images (PDI),US
en,20,Brad Pitt,124,Wolfgang Petersen,Adventure,Plan B Entertainment,US
en,12,Ben Stiller,15,Conrad Vernon,Animation,DreamWorks Animation,US
en,21,Pierce Brosnan,7,Lee Tamahori,Adventure,Eon Productions,GB
en,75,Melissa McCarthy,100,Paul Feig,Action,Columbia Pictures,US
en,67,Bruce Willis,108,Michael Bay,Action,Jerry Bruckheimer Films,US
en,23,Tommy Lee Jones,147,Barry Sonnenfeld,Action,Columbia Pictures,US
en,30,Ray Winstone,60,Robert Zemeckis,Adventure,Paramount Pictures,US
en,34,Jack Black,34,Jennifer Yuh Nelson,Action,Twentieth Century Fox Film Corporation,CN
en,16,Tom Cruise,28,Brad Bird,Action,Paramount Pictures,CZ
en,16,Chris Pine,10,Peter Ramsey,Fantasy,DreamWorks Animation,US
en,15,Jim Carrey,38,Dean Parisot,Comedy,Imagine Entertainment,US
en,47,Tom Cruise,21,Edward Zwick,Drama,Cruise/Wagner Productions,JP
en,24,Christian Bale,155,Ridley Scott,Adventure,Scott Free Productions,ES
en,168,Chris Pine,24,J.J. Abrams,Science Fiction,Paramount Pictures,DE
en,71,Tobey Maguire,126,Sam Raimi,Fantasy,Columbia Pictures,US
en,17,Jay Baruchel,29,Dean DeBlois,Fantasy,DreamWorks Animation,US
en,41,Brenton Thwaites,71,Alex Proyas,Fantasy,Summit Entertainment,AU
en,23,Josh Lucas,24,Rob Cohen,Action,Laura Ziskin Productions,US
en,35,Malin Åkerman,24,Zack Snyder,Action,Paramount Pictures,US
en,21,Mel Gibson,101,Richard Donner,Action,Silver Pictures,US
en,16,Eric Bana,145,Ang Lee,Drama,Universal Pictures,US
en,20,Dwayne Johnson,28,Jon M. Chu,Adventure,Paramount Pictures,US
en,16,Matthew McConaughey,107,Breck Eisner,Action,Paramount Pictures,DE
en,9,Donald Sutherland,44,Hironobu Sakaguchi,Adventure,Columbia Pictures,JP
en,56,Chris Evans,135,Joe Johnston,Action,Marvel Studios,US
en,20,Pierce Brosnan,29,Michael Apted,Adventure,Eon Productions,GB
en,26,Russell Crowe,168,Peter Weir,Adventure,Universal Pictures,US
en,56,Kristen Stewart,113,Bill Condon,Adventure,Summit Entertainment,US
en,26,Elijah Wood,22,George Miller,Animation,Village Roadshow Pictures,AU
en,68,Edward Norton,24,Louis Leterrier,Science Fiction,Universal Pictures,US
en,23,Ruby Barnhill,17,Steven Spielberg,Adventure,Walt Disney Pictures,IN
en,19,Leonardo DiCaprio,124,Alejandro González Iñárritu,Western,Regency Enterprises,CA
en,12,Ryan Reynolds,11,David Soren,Animation,DreamWorks Animation,US
en,17,Johnny Depp,14,Gore Verbinski,Animation,Paramount Pictures,US
en,16,Tom McGrath,4,Eric Darnell,Family,DreamWorks Animation,US
en,46,Matt Damon,135,Paul Greengrass,Action,Universal Pictures,DE
en,26,Jack Black,12,Mark Osborne,Adventure,DreamWorks Animation,US
en,65,Paul Rudd,165,Peyton Reed,Science Fiction,Marvel Studios,US
en,52,Jennifer Lawrence,48,Francis Lawrence,Adventure,Lionsgate,US
en,11,Jim Parsons,35,Tim Johnson,Fantasy,Twentieth Century Fox Film Corporation,US
en,29,Tom Cruise,164,Steven Spielberg,Adventure,Paramount Pictures,US
en,21,Martin Lawrence,163,Michael Bay,Adventure,Columbia Pictures Corporation,US
en,25,Antonio Banderas,21,Chris Miller,Action,DreamWorks,US
en,42,Angelina Jolie,14,Phillip Noyce,Action,Columbia Pictures,US
en,18,Russell Crowe,75,Darren Aronofsky,Drama,Paramount Pictures,US
en,16,Jamie Bell,47,Steven Spielberg,Adventure,Paramount Pictures,NZ
en,51,Daniel Radcliffe,147,Alfonso Cuarón,Adventure,1492 Pictures,GB
en,45,Nicole Kidman,101,Baz Luhrmann,Drama,Bazmark Films,AU
en,19,Jaden Smith,86,M. Night Shyamalan,Science Fiction,Columbia Pictures,US
en,10,D. B. Sweeney,18,Ralph Zondag,Animation,Walt Disney Pictures,US
en,26,Ben Stiller,108,Shawn Levy,Adventure,Twentieth Century Fox Film Corporation,GB
en,23,Will Ferrell,14,Tom McGrath,Animation,DreamWorks Animation,US
en,58,Daniel Radcliffe,134,Chris Columbus,Adventure,1492 Pictures,GB
en,35,Jeff Bridges,33,Robert Schwentke,Fantasy,Universal Pictures,US
en,70,Johnny Depp,128,Gore Verbinski,Adventure,Walt Disney Pictures,US
en,54,Jennifer Lawrence,134,Francis Lawrence,Science Fiction,Lionsgate,US
en,18,Tom Hanks,108,Ron Howard,Thriller,Columbia Pictures,US
en,21,Jesse Eisenberg,22,Carlos Saldanha,Animation,Blue Sky Studios,US
en,31,Patrick Stewart,28,Bryan Singer,Adventure,Twentieth Century Fox Film Corporation,US
en,36,Vin Diesel,146,Justin Lin,Action,Universal Pictures,US
en,25,Robert Downey Jr.,34,Guy Ritchie,Adventure,Village Roadshow Pictures,US
en,35,Sam Worthington,123,Louis Leterrier,Adventure,The Zanuck Company,US
en,21,Arnold Schwarzenegger,24,Paul Verhoeven,Action,TriStar Pictures,US
en,19,Antonio Banderas,17,John McTiernan,Adventure,Touchstone Pictures,US
en,31,Jeremy Renner,102,Tony Gilroy,Action,Universal Pictures,US
en,14,George Clooney,105,Joel Schumacher,Action,PolyGram Filmed Entertainment,GB
en,17,Jim Carrey,18,Ron Howard,Family,Imagine Entertainment,DE
en,27,Dennis Quaid,228,Roland Emmerich,Action,Lions Gate Films,US
en,17,Tom Cruise,123,John Woo,Adventure,Paramount Pictures,DE
en,28,George Clooney,16,Wolfgang Petersen,Drama,Warner Bros.,US
en,18,Ioan Gruffudd,32,Tim Story,Adventure,Ingenious Film Partners,DE
en,21,Suraj Sharma,27,Ang Lee,Adventure,Ingenious Film Partners,US
en,19,Nicolas Cage,58,Mark Steven Johnson,Thriller,Columbia Pictures Corporation,US
en,208,Matt Damon,119,Paul Greengrass,Action,The Kennedy/Marshall Company,GB
en,24,Cameron Diaz,13,McG,Action,Columbia Pictures,US
en,26,Noomi Rapace,81,Ridley Scott,Science Fiction,Twentieth Century Fox Film Corporation,GB
en,14,Michael J. Fox,10,Rob Minkoff,Family,Columbia Pictures,US
en,24,Matt Damon,118,Neill Blomkamp,Science Fiction,TriStar Pictures,US
en,19,Vin Diesel,193,David Twohy,Action,One Race Films,US
en,16,Joel Kinnaman,27,José Padilha,Action,Columbia Pictures,CA
en,26,Emile Hirsch,26,Lilly Wachowski,Action,Village Roadshow Pictures,AU
en,16,Reese Witherspoon,19,James L. Brooks,Comedy,Columbia Pictures,US
en,19,Tom Cruise,109,James Mangold,Action,Tree Line Films,US
en,15,Tom Cruise,31,Joseph Kosinski,Action,Universal Pictures,US
en,60,Ewan McGregor,15,George Lucas,Science Fiction,Lucasfilm,US
en,42,Ewan McGregor,20,George Lucas,Adventure,Lucasfilm,US
en,53,John Goodman,242,Pete Docter,Animation,Walt Disney Pictures,US
en,22,Hugh Jackman,82,James Mangold,Action,Twentieth Century Fox Film Corporation,GB
en,58,Liam Neeson,14,George Lucas,Adventure,Lucasfilm,US
en,8,Nicolas Cage,14,Chris Sanders,Adventure,DreamWorks Animation,US
fr,26,Clovis Cornillac,23,Thomas Langmann,Fantasy,Constantin Film,BE
en,10,Nicolas Cage,35,John Woo,Drama,Lion Rock Productions,US
en,42,Chris Hemsworth,7,Cedric Nicolas-Troyan,Action,Universal Pictures,US
en,28,Megan Fox,54,Jonathan Liebesman,Science Fiction,Paramount Pictures,US
en,7,Sandra Bullock,81,Alfonso Cuarón,Science Fiction,Warner Bros.,GB
en,16,Pierce Brosnan,107,Roger Donaldson,Action,Universal Pictures,US
en,25,Megan Fox,14,Dave Green,Fantasy,Paramount Pictures,CN
en,28,Miles Teller,119,Josh Trank,Action,Twentieth Century Fox Film Corporation,US
en,21,Ben Stiller,19,Shawn Levy,Action,Ingenious Film Partners,US
en,45,Dwayne Johnson,82,Brad Peyton,Action,New Line Cinema,CA
en,34,Pierce Brosnan,20,Roger Spottiswoode,Adventure,Eon Productions,GB
en,21,Mel Gibson,129,Roland Emmerich,Drama,Centropolis Entertainment,DE
en,27,George Clooney,109,Steven Soderbergh,Thriller,Village Roadshow Pictures,US
en,15,Angelina Jolie,19,Doug Liman,Action,Weed Road Pictures,US
en,24,Shailene Woodley,71,Robert Schwentke,Adventure,Summit Entertainment,US
en,65,Leonardo DiCaprio,149,Martin Scorsese,Drama,Miramax Films,US
en,16,Jack Black,22,Rob Letterman,Comedy,Twentieth Century Fox Film Corporation,US
en,13,Seth Rogen,15,Michel Gondry,Action,Original Film,US
en,42,Sullivan Stapleton,89,Noam Murro,Action,Legendary Pictures,US
en,29,Hank Azaria,25,Raja Gosnell,Animation,Columbia Pictures,US
en,21,Roseanne Barr,76,Will Finn,Animation,Walt Disney Pictures,US
en,34,Shailene Woodley,109,Robert Schwentke,Adventure,Summit Entertainment,US
en,172,Hugh Jackman,46,Shawn Levy,Action,DreamWorks SKG,IN
en,32,Hank Azaria,12,Raja Gosnell,Fantasy,Columbia Pictures,US
en,16,Sandra Bullock,103,Jan de Bont,Action,Twentieth Century Fox Film Corporation,US
en,20,Asa Butterfield,127,Gavin Hood,Science Fiction,Summit Entertainment,US
en,23,Bruce Willis,108,Len Wiseman,Action,Ingenious Film Partners,GB
en,26,Elijah Wood,30,Peter Jackson,Adventure,WingNut Films,NZ
en,26,Jackie Chan,135,Frank Coraci,Action,Studio Babelsberg,DE
en,56,Will Smith,32,Michael Mann,Drama,Columbia Pictures Corporation,US
en,11,Mike Myers,16,Bo Welch,Comedy,Imagine Entertainment,US
en,21,Will Smith,138,Alex Proyas,Action,Twentieth Century Fox Film Corporation,US
en,20,Orlando Bloom,114,Ridley Scott,Drama,Studio Babelsberg,DE
en,18,Michael J. Fox,9,Rob Minkoff,Animation,Columbia Pictures Corporation,DE
en,23,Anika Noni Rose,99,Ron Clements,Romance,Walt Disney Pictures,US
en,51,Matt Damon,105,Ridley Scott,Drama,Twentieth Century Fox Film Corporation,US
en,41,Ewan McGregor,55,Michael Bay,Action,DreamWorks SKG,US
en,10,Warren Beatty,3,Peter Chelsom,Comedy,New Line Cinema,
en,23,Nicolas Cage,34,Dominic Sena,Action,Jerry Bruckheimer Films,US
en,38,Russell Crowe,101,Ridley Scott,Action,DreamWorks SKG,GB
en,23,Tom Cruise,156,Steven Spielberg,Action,DreamWorks SKG,US
en,61,Daniel Radcliffe,141,Chris Columbus,Adventure,1492 Pictures,DE
en,79,Daniel Craig,126,Martin Campbell,Adventure,Eon Productions,IT
en,23,Mark Wahlberg,20,Tim Burton,Thriller,Twentieth Century Fox Film Corporation,US
en,42,Arnold Schwarzenegger,58,James Cameron,Action,Lightstorm Entertainment,FR
en,49,Christian Bale,108,Michael Mann,History,Universal Pictures,US
en,110,Denzel Washington,60,Ridley Scott,Drama,Imagine Entertainment,GB
en,10,Arnold Schwarzenegger,23,James Cameron,Action,Twentieth Century Fox Film Corporation,US
en,22,Denzel Washington,19,Tony Scott,Thriller,Columbia Pictures,US
en,18,Robert De Niro,9,Paul Weitz,Comedy,Paramount Pictures,US
en,29,Will Ferrell,10,Adam McKay,Action,Columbia Pictures,US
en,18,Arnold Schwarzenegger,77,Chuck Russell,Action,Kopelson Entertainment,CA
en,115,Jamie Foxx,88,Quentin Tarantino,Drama,Columbia Pictures,US
en,17,Tom Hulce,35,Gary Trousdale,Drama,Walt Disney Pictures,US
en,11,David Spade,27,Mark Dindal,Adventure,Walt Disney Pictures,US
en,17,Sylvester Stallone,106,Simon West,Action,Nu Image Films,US
en,38,Nicolas Cage,125,Jon Turteltaub,Adventure,Walt Disney Pictures,US
en,15,Ed Speleers,26,Stefen Fangmeier,Fantasy,Ingenious Film Partners,GB
en,17,Max Records,9,Spike Jonze,Family,Village Roadshow Pictures,US
en,25,Josh Hutcherson,23,Chris Wedge,Animation,Blue Sky Studios,US
en,46,Johnny Depp,30,Florian Henckel von Donnersmarck,Action,Columbia Pictures,GB
en,13,Arnold Schwarzenegger,139,Peter Hyams,Action,Beacon Communications,US
en,22,Leonardo DiCaprio,87,Edward Zwick,Drama,Bedford Falls Productions,DE
en,140,Leonardo DiCaprio,244,Martin Scorsese,Crime,Paramount Pictures,US
en,17,Val Kilmer,18,Joel Schumacher,Action,Warner Bros.,GB
en,20,Casper Van Dien,46,Paul Verhoeven,Adventure,TriStar Pictures,US
en,30,Tom Hanks,149,Tom Tykwer,Drama,Anarchos Productions,DE
en,22,Emily Barclay,13,Zack Snyder,Animation,Village Roadshow Pictures,AU
en,58,Halle Berry,162,Pitof,Action,Village Roadshow Pictures,US
en,26,Dwayne Johnson,77,Brett Ratner,Action,Paramount Pictures,US
en,28,Joseph Gordon-Levitt,39,Ron Clements,Adventure,Walt Disney Pictures,US
en,18,Will Ferrell,27,Brad Silberling,Adventure,Universal Pictures,US
en,31,Sylvester Stallone,85,Patrick Hughes,Action,Davis-Films,FR
en,14,Edgar Ramírez,144,Ericson Core,Action,Studio Babelsberg,DE
en,7,Jamie Kennedy,13,Lawrence Guterman,Fantasy,New Line Cinema,DE
en,26,Chris Hemsworth,110,Ron Howard,Thriller,Imagine Entertainment,US
en,14,Eddie Murphy,9,Ron Underwood,Action,Village Roadshow Pictures,AU
en,88,Matt Damon,81,Paul Greengrass,War,Universal Pictures,ES
en,14,Noah Schnapp,16,Steve Martino,Animation,Blue Sky Studios,US
en,6,Steve Martin,18,David Mamet,Crime,Jean Doumanian Productions,US
en,19,Brendan Fraser,11,Stephen Sommers,Adventure,Universal Pictures,US
en,29,Leonardo DiCaprio,38,Martin Scorsese,Drama,Miramax Films,US
zh,8,Christian Bale,45,Zhang Yimou,Drama,Beijing New Picture Film Co. Ltd.,CN
en,15,Shia LaBeouf,19,Ash Brannon,Animation,Columbia Pictures,US
en,22,Nicole Kidman,19,Frank Oz,Action,Paramount Pictures,US
en,34,Josh Hartnett,156,Ridley Scott,Action,Jerry Bruckheimer Films,GB
en,21,Will Ferrell,12,Jay Roach,Comedy,Everyman Pictures,US
en,115,Bruce Willis,134,Luc Besson,Adventure,Columbia Pictures,FR
en,32,Sarah Jessica Parker,14,Michael Patrick King,Comedy,New Line Cinema,US
en,12,Kenneth Branagh,37,Don Michael Paul,Adventure,DreamWorks SKG,US
en,37,John Leguizamo,13,Steve Martino,Animation,Blue Sky Studios,US
en,78,Lily James,80,Kenneth Branagh,Romance,Walt Disney Pictures,GB
en,17,Rachel Weisz,27,Peter Jackson,Fantasy,WingNut Films,GB
en,24,Albert Brooks,104,Andrew Stanton,Animation,Pixar Animation Studios,US
en,29,Elijah Wood,29,Peter Jackson,Adventure,WingNut Films,NZ
en,34,Elijah Wood,36,Peter Jackson,Adventure,WingNut Films,NZ
en,35,Jeff Bridges,55,Sergei Bodrov,Adventure,Legendary Pictures,CN
en,23,Angelina Jolie,41,Simon West,Adventure,Paramount Pictures,US
en,41,Johnny Depp,67,Wally Pfister,Thriller,Alcon Entertainment,CN
en,15,Sam Neill,100,Joe Johnston,Adventure,Universal Studios,US
en,28,James Franco,110,Rupert Wyatt,Thriller,Ingenious Film Partners,US
en,9,Freddie Highmore,99,Mark Waters,Adventure,Paramount Pictures,US
en,20,Bruce Willis,109,John Moore,Action,Ingenious Media,US
en,20,Dennis Quaid,145,John Lee Hancock,Western,Imagine Entertainment,US
en,44,Craig T. Nelson,85,Brad Bird,Action,Walt Disney Pictures,US
en,31,Geena Davis,16,Renny Harlin,Action,Le Studio Canal+,FR
en,91,Logan Lerman,48,Chris Columbus,Adventure,Ingenious Film Partners,CA
en,18,Tommy Lee Jones,122,Barry Sonnenfeld,Action,Amblin Entertainment,US
en,24,Tom Hanks,172,John Lasseter,Animation,Pixar Animation Studios,US
en,20,Denzel Washington,27,Tony Scott,Action,Twentieth Century Fox Film Corporation,US
en,16,Chris Tucker,10,Brett Ratner,Action,New Line Cinema,US
en,15,Harrison Ford,111,Robert Zemeckis,Drama,DreamWorks SKG,US
en,41,Bill Hader,21,Phil Lord,Animation,Columbia Pictures,US
en,27,Ray Romano,8,Carlos Saldanha,Animation,Blue Sky Studios,US
en,13,Ben Stiller,21,Ben Stiller,Adventure,New Line Cinema,US
en,16,Cameron Diaz,38,McG,Action,Columbia Pictures,US
en,71,Leonardo DiCaprio,71,Martin Scorsese,Drama,Vertigo Entertainment,HK
en,21,Eddie Murphy,27,Tony Bancroft,Animation,Walt Disney Pictures,US
en,74,Ben Stiller,36,Ben Stiller,Action,DreamWorks SKG,US
